year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,aggravated_assault,arson,burglary,larceny_theft,motor_vehicle_theft,murder,robbery,sexual_assault,aggravated_assault_rate,arson_rate,burglary_rate,larceny_theft_rate,motor_vehicle_theft_rate,murder_rate,robbery_rate,sexual_assault_rate
1982,38,75,Iroquois,21,Central,Mostly Rural,71.7,33081,7,0,7,30,2,1,0,0,21.2,0,21.2,90.7,6,3,0,0
1982,39,77,Jackson,1,Southern,Mostly Urban,37.2,62399,58,3,28,529,8,1,9,0,93,4.8,44.9,847.8,12.8,1.6,14.4,0
1982,40,79,Jasper,4,Southern,Mostly Rural,69.9,11491,2,0,2,15,0,0,0,0,17.4,0,17.4,130.5,0,0,0,0
1982,41,81,Jefferson,2,Southern,Mostly Rural,58.8,38004,42,2,53,183,4,1,7,2,110.5,5.3,139.5,481.5,10.5,2.6,18.4,5.3
1982,42,83,Jersey,7,Southern,Mostly Rural,60.6,20611,14,0,35,90,1,0,0,1,67.9,0,169.8,436.7,4.9,0,0,4.9
1982,43,85,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,23469,7,6,20,28,9,1,0,0,29.8,25.6,85.2,119.3,38.3,4.3,0,0
1982,44,87,Johnson,1,Southern,Completely Rural,100,9964,7,0,4,14,2,0,2,0,70.3,0,40.1,140.5,20.1,0,20.1,0
1982,45,89,Kane,16,Northern - Collar,Mostly Urban,3.6,278859,286,16,466,1938,60,12,91,15,102.6,5.7,167.1,695,21.5,4.3,32.6,5.4
1982,46,91,Kankakee,21,Central,Mostly Urban,24.5,101218,79,4,151,713,28,5,36,6,78,4,149.2,704.4,27.7,4.9,35.6,5.9
1982,47,93,Kendall,23,Northern - Other,Mostly Urban,10.4,37531,9,0,11,54,2,0,3,0,24,0,29.3,143.9,5.3,0,8,0
1982,48,95,Knox,9,Central,Mostly Urban,24.3,59943,37,2,123,315,15,1,11,2,61.7,3.3,205.2,525.5,25,1.7,18.4,3.3
1982,49,97,Lake,19,Northern - Collar,Mostly Urban,1.3,451470,394,40,765,2873,97,16,164,26,87.3,8.9,169.4,636.4,21.5,3.5,36.3,5.8
1982,50,99,LaSalle,13,Northern - Other,Mostly Urban,30.2,109687,45,3,93,300,26,1,5,0,41,2.7,84.8,273.5,23.7,0.9,4.6,0
1982,51,101,Lawrence,2,Southern,Mostly Rural,58,18232,24,0,3,6,0,0,0,0,131.6,0,16.5,32.9,0,0,0,0
1982,52,103,Lee,15,Northern - Other,Mostly Rural,53.2,35724,8,2,46,54,7,0,5,3,22.4,5.6,128.8,151.2,19.6,0,14,8.4
1982,53,105,Livingston,11,Central,Mostly Urban,40.8,41003,6,0,27,54,6,0,2,3,14.6,0,65.8,131.7,14.6,0,4.9,7.3
1982,54,107,Logan,11,Central,Mostly Urban,39.9,31419,26,1,30,44,4,0,0,0,82.8,3.2,95.5,140,12.7,0,0,0
1982,55,109,McDonough,9,Central,Mostly Urban,29.5,38348,19,2,11,114,8,0,0,0,49.5,5.2,28.7,297.3,20.9,0,0,0
1982,56,111,McHenry,22,Northern - Collar,Mostly Urban,9.9,149834,103,12,276,559,24,2,19,2,68.7,8,184.2,373.1,16,1.3,12.7,1.3
1982,57,113,McLean,11,Central,Mostly Urban,16.5,120379,66,4,170,660,23,6,22,3,54.8,3.3,141.2,548.3,19.1,5,18.3,2.5
1982,58,115,Macon,6,Central,Mostly Urban,15.3,128485,201,25,415,1136,18,2,44,17,156.4,19.5,323,884.1,14,1.6,34.2,13.2
1982,59,117,Macoupin,7,Central,Mostly Rural,58.5,49412,18,0,33,43,10,0,1,3,36.4,0,66.8,87,20.2,0,2,6.1
1982,60,119,Madison,3,Southern,Mostly Urban,13.3,244437,177,14,425,1567,47,14,108,28,72.4,5.7,173.9,641.1,19.2,5.7,44.2,11.5
1982,61,121,Marion,4,Southern,Mostly Urban,45.1,44347,25,0,28,120,12,0,9,2,56.4,0,63.1,270.6,27.1,0,20.3,4.5
1982,62,123,Marshall,10,Central,Completely Rural,100,14308,4,0,4,9,0,1,0,2,28,0,28,62.9,0,7,0,14
1982,63,125,Mason,8,Central,Mostly Rural,77.5,18797,3,3,13,23,4,0,0,1,16,16,69.2,122.4,21.3,0,0,5.3
1982,64,127,Massac,1,Southern,Mostly Rural,50.5,15069,21,1,16,33,6,0,2,1,139.4,6.6,106.2,219,39.8,0,13.3,6.6
1982,65,129,Menard,8,Central,Mostly Rural,75.7,11682,2,0,16,6,1,0,0,0,17.1,0,137,51.4,8.6,0,0,0
1982,66,131,Mercer,14,Central,Mostly Rural,77.8,19468,2,1,26,11,3,1,0,0,10.3,5.1,133.6,56.5,15.4,5.1,0,0
1982,67,133,Monroe,20,Southern,Mostly Urban,41.4,20341,12,1,15,31,0,1,3,0,59,4.9,73.7,152.4,0,4.9,14.7,0
1982,68,135,Montgomery,4,Central,Mostly Urban,41.6,32662,4,2,30,44,3,0,2,0,12.2,6.1,91.8,134.7,9.2,0,6.1,0
1982,69,137,Morgan,7,Central,Mostly Urban,36.2,37158,58,0,34,99,9,0,1,1,156.1,0,91.5,266.4,24.2,0,2.7,2.7
1982,70,139,Moultrie,6,Central,Mostly Rural,69.2,14650,4,0,7,8,1,0,0,0,27.3,0,47.8,54.6,6.8,0,0,0
1982,71,141,Ogle,15,Northern - Other,Mostly Urban,47.1,46059,19,0,34,72,0,3,1,0,41.3,0,73.8,156.3,0,6.5,2.2,0
1982,72,143,Peoria,10,Central,Mostly Urban,14.6,197990,351,21,414,1546,67,7,81,26,177.3,10.6,209.1,780.8,33.8,3.5,40.9,13.1
1982,73,145,Perry,20,Southern,Mostly Urban,43.6,21977,35,2,25,33,0,0,0,0,159.3,9.1,113.8,150.2,0,0,0,0
1982,74,147,Piatt,6,Central,Mostly Rural,67.7,16493,6,0,20,18,0,1,0,0,36.4,0,121.3,109.1,0,6.1,0,0
1982,75,149,Pike,8,Central,Mostly Rural,72.3,18879,6,0,11,11,0,0,0,2,31.8,0,58.3,58.3,0,0,0,10.6
1982,76,151,Pope,1,Southern,Completely Rural,100,4367,7,0,11,5,0,0,0,0,160.3,0,251.9,114.5,0,0,0,0
1982,77,153,Pulaski,1,Southern,Completely Rural,100,8733,36,4,8,32,2,0,7,0,412.2,45.8,91.6,366.4,22.9,0,80.2,0
1982,78,155,Putnam,10,Central,Completely Rural,100,6076,3,0,3,4,1,0,0,1,49.4,0,49.4,65.8,16.5,0,0,16.5
1982,79,157,Randolph,20,Southern,Mostly Urban,42.6,35825,31,1,28,29,8,1,0,0,86.5,2.8,78.2,80.9,22.3,2.8,0,0
1982,80,159,Richland,2,Southern,Mostly Urban,43.5,18515,7,2,37,46,7,0,0,0,37.8,10.8,199.8,248.4,37.8,0,0,0
1982,81,161,Rock Island,14,Central,Mostly Urban,10.9,166165,162,7,248,1012,39,0,37,10,97.5,4.2,149.2,609,23.5,0,22.3,6
1982,82,163,St. Clair,20,Southern,Mostly Urban,9.8,266073,603,13,294,1427,35,27,65,25,226.6,4.9,110.5,536.3,13.2,10.1,24.4,9.4
1982,83,165,Saline,1,Southern,Mostly Urban,43.7,28953,32,1,46,59,13,0,0,2,110.5,3.5,158.9,203.8,44.9,0,0,6.9
1982,84,167,Sangamon,7,Central,Mostly Urban,14.1,175162,122,7,248,545,30,1,57,8,69.6,4,141.6,311.1,17.1,0.6,32.5,4.6
1982,85,169,Schuyler,8,Central,Mostly Rural,57.6,8237,1,0,0,9,2,0,0,0,12.1,0,0,109.3,24.3,0,0,0
1982,86,171,Scott,7,Central,Completely Rural,100,6059,0,0,4,8,1,1,0,0,0,0,66,132,16.5,16.5,0,0
1982,87,173,Shelby,4,Central,Mostly Rural,77.7,23630,0,0,3,7,2,0,0,0,0,0,12.7,29.6,8.5,0,0,0
1982,88,175,Stark,10,Central,Completely Rural,100,7252,3,0,1,1,0,0,0,0,41.4,0,13.8,13.8,0,0,0,0
1982,89,177,Stephenson,15,Northern - Other,Mostly Urban,40.1,49842,100,0,43,263,5,1,13,0,200.6,0,86.3,527.7,10,2,26.1,0
1982,90,179,Tazewell,10,Central,Mostly Urban,20.4,130451,85,14,167,446,23,4,17,1,65.2,10.7,128,341.9,17.6,3.1,13,0.8
1982,91,181,Union,1,Southern,Mostly Rural,65.9,18043,11,0,11,24,2,2,1,1,61,0,61,133,11.1,11.1,5.5,5.5
1982,92,183,Vermilion,5,Central,Mostly Urban,31.3,92998,109,6,136,516,16,4,13,2,117.2,6.5,146.2,554.9,17.2,4.3,14,2.2
1982,93,185,Wabash,2,Southern,Mostly Urban,38.9,13913,9,0,23,83,4,1,1,1,64.7,0,165.3,596.6,28.8,7.2,7.2,7.2
1982,94,187,Warren,9,Central,Mostly Urban,45.5,21638,10,0,36,71,2,2,1,1,46.2,0,166.4,328.1,9.2,9.2,4.6,4.6
1982,95,189,Washington,20,Southern,Mostly Rural,73.6,15517,3,1,5,2,4,0,0,0,19.3,6.4,32.2,12.9,25.8,0,0,0
1982,96,191,Wayne,2,Southern,Mostly Rural,69.9,18613,5,0,28,26,11,0,4,4,26.9,0,150.4,139.7,59.1,0,21.5,21.5
1982,97,193,White,2,Southern,Mostly Rural,62,18403,12,0,16,38,7,0,2,0,65.2,0,86.9,206.5,38,0,10.9,0
1982,98,195,Whiteside,14,Northern - Other,Mostly Urban,37.3,64356,45,3,74,287,9,1,4,2,69.9,4.7,115,446,14,1.6,6.2,3.1
1982,99,197,Will,12,Northern - Collar,Mostly Urban,3.9,325943,425,10,345,1362,66,14,95,19,130.4,3.1,105.8,417.9,20.2,4.3,29.1,5.8
1982,100,199,Williamson,1,Southern,Mostly Urban,34.8,57917,55,4,75,106,7,0,5,4,95,6.9,129.5,183,12.1,0,8.6,6.9
1982,101,201,Winnebago,17,Northern - Other,Mostly Urban,7.9,249698,413,20,429,2426,47,12,105,10,165.4,8,171.8,971.6,18.8,4.8,42.1,4
1982,102,203,Woodford,11,Central,Mostly Rural,54.9,33563,3,0,17,27,1,0,1,1,8.9,0,50.7,80.4,3,0,3,3
1983,1,1,Adams,8,Central,Mostly Urban,32.6,70392,85,2,64,345,12,0,6,3,120.8,2.8,90.9,490.1,17,0,8.5,4.3
1983,2,3,Alexander,1,Southern,Mostly Rural,61.9,11948,31,0,33,43,3,0,8,3,259.5,0,276.2,359.9,25.1,0,67,25.1
1983,3,5,Bond,3,Southern,Mostly Rural,60.7,15932,0,0,1,9,1,1,3,0,0,0,6.3,56.5,6.3,6.3,18.8,0
1983,4,7,Boone,17,Northern - Other,Mostly Urban,19.4,29133,8,1,36,152,3,0,0,0,27.5,3.4,123.6,521.7,10.3,0,0,0
1983,5,9,Brown,8,Central,Mostly Urban,41.1,5726,0,0,0,8,0,0,0,0,0,0,0,139.7,0,0,0,0
1983,6,11,Bureau,13,Central,Mostly Rural,57.4,38399,22,1,44,90,10,0,0,0,57.3,2.6,114.6,234.4,26,0,0,0
1983,7,13,Calhoun,8,Southern,Completely Rural,100,5699,1,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0
1983,8,15,Carroll,15,Northern - Other,Mostly Rural,81.9,18342,4,0,14,23,3,0,0,2,21.8,0,76.3,125.4,16.4,0,0,10.9
1983,9,17,Cass,8,Central,Mostly Rural,52.1,14662,10,0,5,14,1,0,1,0,68.2,0,34.1,95.5,6.8,0,6.8,0
1983,10,19,Champaign,6,Central,Mostly Urban,12.7,170311,232,6,221,1038,29,11,53,11,136.2,3.5,129.8,609.5,17,6.5,31.1,6.5
1983,11,21,Christian,4,Central,Mostly Urban,43.5,36391,16,1,27,81,5,4,1,2,44,2.7,74.2,222.6,13.7,11,2.7,5.5
1983,12,23,Clark,5,Southern,Mostly Rural,59.5,16897,6,1,5,22,4,0,0,1,35.5,5.9,29.6,130.2,23.7,0,0,5.9
1983,13,25,Clay,4,Southern,Mostly Rural,64.7,15595,7,3,17,32,4,0,0,0,44.9,19.2,109,205.2,25.6,0,0,0
1983,14,27,Clinton,4,Southern,Mostly Urban,48.8,33648,13,0,29,26,2,2,1,0,38.6,0,86.2,77.3,5.9,5.9,3,0
1983,15,29,Coles,5,Central,Mostly Urban,24.3,52780,23,0,72,188,9,1,7,0,43.6,0,136.4,356.2,17.1,1.9,13.3,0
1983,16,31,Cook,co,Northern - Cook,Completely Urban,0,5213812,2359,402,10569,51432,4210,944,6029,807,45.2,7.7,202.7,986.5,80.7,18.1,115.6,15.5
1983,17,33,Crawford,2,Southern,Mostly Rural,60.2,21229,12,1,10,23,1,0,0,0,56.5,4.7,47.1,108.3,4.7,0,0,0
1983,18,35,Cumberland,5,Southern,Completely Rural,100,10955,5,0,9,17,0,1,0,0,45.6,0,82.2,155.2,0,9.1,0,0
1983,19,37,DeKalb,23,Northern - Other,Mostly Urban,20.3,73711,35,0,121,448,29,0,3,0,47.5,0,164.2,607.8,39.3,0,4.1,0
1983,20,39,De Witt,6,Central,Mostly Urban,48.8,17673,11,0,7,26,0,0,2,0,62.2,0,39.6,147.1,0,0,11.3,0
1983,21,41,Douglas,6,Central,Mostly Rural,61.6,19763,3,0,17,25,6,2,0,0,15.2,0,86,126.5,30.4,10.1,0,0
1983,22,43,DuPage,18,Northern - Collar,Completely Urban,0,690201,221,18,508,1974,90,7,43,10,32,2.6,73.6,286,13,1,6.2,1.4
1983,23,45,Edgar,5,Central,Mostly Rural,51.8,21674,29,3,19,65,4,0,2,0,133.8,13.8,87.7,299.9,18.5,0,9.2,0
1983,24,47,Edwards,2,Southern,Completely Rural,100,8165,2,0,4,15,1,0,0,0,24.5,0,49,183.7,12.2,0,0,0
1983,25,49,Effingham,4,Southern,Mostly Rural,59.7,31400,6,0,29,84,4,0,4,0,19.1,0,92.4,267.5,12.7,0,12.7,0
1983,26,51,Fayette,4,Southern,Mostly Rural,67,22397,6,0,7,40,4,0,0,0,26.8,0,31.3,178.6,17.9,0,0,0
1983,27,53,Ford,11,Central,Mostly Urban,41.8,15220,2,0,21,19,4,0,0,1,13.1,0,138,124.8,26.3,0,0,6.6
1983,28,55,Franklin,2,Southern,Mostly Urban,48.6,43726,44,1,47,87,7,2,6,0,100.6,2.3,107.5,199,16,4.6,13.7,0
1983,29,57,Fulton,9,Central,Mostly Rural,60,42341,13,0,41,67,7,1,1,0,30.7,0,96.8,158.2,16.5,2.4,2.4,0
1983,30,59,Gallatin,2,Southern,Completely Rural,100,7718,7,0,2,2,0,0,0,0,90.7,0,25.9,25.9,0,0,0,0
1983,31,61,Greene,7,Central,Mostly Rural,70.8,16262,7,0,18,30,1,2,1,1,43,0,110.7,184.5,6.1,12.3,6.1,6.1
1983,32,63,Grundy,13,Northern - Other,Mostly Urban,24.4,30619,10,3,46,59,8,1,0,0,32.7,9.8,150.2,192.7,26.1,3.3,0,0
1983,33,65,Hamilton,2,Southern,Mostly Rural,68.1,9280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,34,67,Hancock,9,Central,Mostly Rural,71,23562,14,2,20,49,9,1,1,6,59.4,8.5,84.9,208,38.2,4.2,4.2,25.5
1983,35,69,Hardin,2,Southern,Completely Rural,100,5400,0,0,5,1,0,1,0,0,0,0,92.6,18.5,0,18.5,0,0
1983,36,71,Henderson,9,Central,Mostly Rural,99.7,8961,2,0,10,12,1,0,0,0,22.3,0,111.6,133.9,11.2,0,0,0
1983,37,73,Henry,14,Central,Mostly Rural,50.3,56329,6,1,29,98,0,0,1,0,10.7,1.8,51.5,174,0,0,1.8,0
1983,38,75,Iroquois,21,Central,Mostly Rural,71.7,32760,4,3,11,26,5,0,0,0,12.2,9.2,33.6,79.4,15.3,0,0,0
1983,39,77,Jackson,1,Southern,Mostly Urban,37.2,62538,65,2,56,466,11,4,7,10,103.9,3.2,89.5,745.1,17.6,6.4,11.2,16
1983,40,79,Jasper,4,Southern,Mostly Rural,69.9,11491,4,0,11,14,1,0,0,0,34.8,0,95.7,121.8,8.7,0,0,0
1983,41,81,Jefferson,2,Southern,Mostly Rural,58.8,38252,54,4,97,214,25,1,20,4,141.2,10.5,253.6,559.4,65.4,2.6,52.3,10.5
1983,42,83,Jersey,7,Southern,Mostly Rural,60.6,20551,18,0,25,80,5,2,4,0,87.6,0,121.6,389.3,24.3,9.7,19.5,0
1983,43,85,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,23185,5,3,74,32,7,3,2,0,21.6,12.9,319.2,138,30.2,12.9,8.6,0
1983,44,87,Johnson,1,Southern,Completely Rural,100,10128,8,0,13,18,2,0,0,0,79,0,128.4,177.7,19.7,0,0,0
1983,45,89,Kane,16,Northern - Collar,Mostly Urban,3.6,280933,261,12,530,2005,52,7,54,10,92.9,4.3,188.7,713.7,18.5,2.5,19.2,3.6
1983,46,91,Kankakee,21,Central,Mostly Urban,24.5,99560,69,2,133,622,31,4,22,8,69.3,2,133.6,624.7,31.1,4,22.1,8
1983,47,93,Kendall,23,Northern - Other,Mostly Urban,10.4,37093,8,0,11,44,0,0,2,1,21.6,0,29.7,118.6,0,0,5.4,2.7
1983,48,95,Knox,9,Central,Mostly Urban,24.3,59365,51,2,65,353,8,2,9,2,85.9,3.4,109.5,594.6,13.5,3.4,15.2,3.4
1983,49,97,Lake,19,Northern - Collar,Mostly Urban,1.3,455347,413,32,730,2465,69,22,152,28,90.7,7,160.3,541.3,15.2,4.8,33.4,6.1
1983,50,99,LaSalle,13,Northern - Other,Mostly Urban,30.2,108926,49,4,112,246,14,1,2,4,45,3.7,102.8,225.8,12.9,0.9,1.8,3.7
1983,51,101,Lawrence,2,Southern,Mostly Rural,58,18212,12,0,4,10,1,0,1,0,65.9,0,22,54.9,5.5,0,5.5,0
1983,52,103,Lee,15,Northern - Other,Mostly Rural,53.2,34656,13,0,50,106,3,3,6,0,37.5,0,144.3,305.9,8.7,8.7,17.3,0
1983,53,105,Livingston,11,Central,Mostly Urban,40.8,40481,9,0,9,28,4,0,1,1,22.2,0,22.2,69.2,9.9,0,2.5,2.5
1983,54,107,Logan,11,Central,Mostly Urban,39.9,31110,32,0,24,64,2,1,2,3,102.9,0,77.1,205.7,6.4,3.2,6.4,9.6
1983,55,109,McDonough,9,Central,Mostly Urban,29.5,37471,31,3,22,116,3,1,1,2,82.7,8,58.7,309.6,8,2.7,2.7,5.3
1983,56,111,McHenry,22,Northern - Collar,Mostly Urban,9.9,151784,96,3,248,617,21,4,15,1,63.2,2,163.4,406.5,13.8,2.6,9.9,0.7
1983,57,113,McLean,11,Central,Mostly Urban,16.5,121622,66,3,166,616,13,6,9,5,54.3,2.5,136.5,506.5,10.7,4.9,7.4,4.1
1983,58,115,Macon,6,Central,Mostly Urban,15.3,126932,175,46,252,1010,28,3,72,20,137.9,36.2,198.5,795.7,22.1,2.4,56.7,15.8
1983,59,117,Macoupin,7,Central,Mostly Rural,58.5,49410,15,3,27,60,7,0,1,3,30.4,6.1,54.6,121.4,14.2,0,2,6.1
1983,60,119,Madison,3,Southern,Mostly Urban,13.3,244885,161,11,504,1545,41,7,54,23,65.7,4.5,205.8,630.9,16.7,2.9,22.1,9.4
1983,61,121,Marion,4,Southern,Mostly Urban,45.1,44419,53,0,73,156,7,0,5,2,119.3,0,164.3,351.2,15.8,0,11.3,4.5
1983,62,123,Marshall,10,Central,Completely Rural,100,14177,8,0,11,19,0,2,0,0,56.4,0,77.6,134,0,14.1,0,0
1983,63,125,Mason,8,Central,Mostly Rural,77.5,18448,19,0,38,35,4,0,2,1,103,0,206,189.7,21.7,0,10.8,5.4
1983,64,127,Massac,1,Southern,Mostly Rural,50.5,14996,18,0,17,48,3,0,1,1,120,0,113.4,320.1,20,0,6.7,6.7
1983,65,129,Menard,8,Central,Mostly Rural,75.7,11640,4,2,7,8,2,1,0,0,34.4,17.2,60.1,68.7,17.2,8.6,0,0
1983,66,131,Mercer,14,Central,Mostly Rural,77.8,19254,8,0,14,14,1,0,4,1,41.5,0,72.7,72.7,5.2,0,20.8,5.2
1983,67,133,Monroe,20,Southern,Mostly Urban,41.4,20391,5,1,8,9,1,0,0,0,24.5,4.9,39.2,44.1,4.9,0,0,0
1983,68,135,Montgomery,4,Central,Mostly Urban,41.6,32537,0,0,28,40,4,3,1,0,0,0,86.1,122.9,12.3,9.2,3.1,0
1983,69,137,Morgan,7,Central,Mostly Urban,36.2,37307,74,1,38,95,0,0,5,1,198.4,2.7,101.9,254.6,0,0,13.4,2.7
1983,70,139,Moultrie,6,Central,Mostly Rural,69.2,14669,6,0,10,3,1,0,0,0,40.9,0,68.2,20.5,6.8,0,0,0
1983,71,141,Ogle,15,Northern - Other,Mostly Urban,47.1,46025,12,2,60,92,1,0,0,2,26.1,4.3,130.4,199.9,2.2,0,0,4.3
1983,72,143,Peoria,10,Central,Mostly Urban,14.6,194712,321,17,417,1621,47,8,88,23,164.9,8.7,214.2,832.5,24.1,4.1,45.2,11.8
1983,73,145,Perry,20,Southern,Mostly Urban,43.6,22176,19,3,31,53,1,1,10,0,85.7,13.5,139.8,239,4.5,4.5,45.1,0
1983,74,147,Piatt,6,Central,Mostly Rural,67.7,16404,11,0,9,11,1,0,0,1,67.1,0,54.9,67.1,6.1,0,0,6.1
1983,75,149,Pike,8,Central,Mostly Rural,72.3,18932,0,0,7,8,2,0,0,0,0,0,37,42.3,10.6,0,0,0
1983,76,151,Pope,1,Southern,Completely Rural,100,4375,2,0,12,5,0,0,0,0,45.7,0,274.3,114.3,0,0,0,0
1983,77,153,Pulaski,1,Southern,Completely Rural,100,8456,53,0,11,24,1,2,11,0,626.8,0,130.1,283.8,11.8,23.7,130.1,0
1983,78,155,Putnam,10,Central,Completely Rural,100,6101,4,0,1,1,0,0,0,0,65.6,0,16.4,16.4,0,0,0,0
1983,79,157,Randolph,20,Southern,Mostly Urban,42.6,35810,22,0,13,30,6,4,1,0,61.4,0,36.3,83.8,16.8,11.2,2.8,0
1983,80,159,Richland,2,Southern,Mostly Urban,43.5,18416,10,3,26,63,3,6,0,1,54.3,16.3,141.2,342.1,16.3,32.6,0,5.4
1983,81,161,Rock Island,14,Central,Mostly Urban,10.9,164006,172,5,173,942,19,8,24,12,104.9,3,105.5,574.4,11.6,4.9,14.6,7.3
